page;section;hero_id;page_type;has_text_layer;image_count;needs_ocr;needs_review;review_reasons;visual_page_type;visual_features;visual_confidence;visual_review_required;visual_notes;note
120;heroes;hero-034;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
121;heroes;hero-035;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ИЛЬЯ ВАЛЕРИЯ, АЛЕКСАНДР, КСЕНИЯ Тюменская область г. Тюмень
122;heroes;hero-035;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
123;heroes;hero-035;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
124;heroes;hero-036;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АНДРЕЙ КСЕНИЯ, АРТЁМ Свердловская область г. Екатеринбург
125;heroes;hero-036;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
126;heroes;hero-036;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_child_art | has_handwriting | has_official_symbols;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
127;heroes;hero-037;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ДАМИР ИРКЕН, МИЛАНА, ИЛЬНАР Астраханская область г. Астрахань
128;heroes;hero-037;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
129;heroes;hero-037;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
130;heroes;hero-038;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ВЯЧЕСЛАВ ЛЕОНИД, ВАРВАРА, РОМАН Тюменская область г. Тюмень
131;heroes;hero-038;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
132;heroes;hero-038;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
133;heroes;hero-039;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ВАСИЛИЙ ПАВЕЛ Республика Башкортостан г. Уфа
134;heroes;hero-039;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
135;heroes;hero-039;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
136;heroes;hero-040;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ РОМАН СВЯТОСЛАВ Тюменская область г. Тюмень
137;heroes;hero-040;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
138;heroes;hero-040;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);document_scan;has_handwriting | has_portrait | has_low_readability | has_caption;0.75;True;"необычная композиция, похоже на мемориальную карточку/буклет | previous: page_type=document_scan, confidence=0.5 | Полноразмерный просмотр: ксерокопированный композитный лист (заголовок + ч/б фото + письмо); уверенность повышена с 0.5";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
139;heroes;hero-041;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (2/7) — тот же дефект, что и p.106: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
140;heroes;hero-041;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_official_symbols;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
141;heroes;hero-041;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
142;heroes;hero-042;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ЕВГЕНИЙ ДМИТРИЙ, АРТЕМ, ПАЛИНА Республика Тыва г. Кызыл
143;heroes;hero-042;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
144;heroes;hero-042;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting | has_low_readability;0.85;False;"previous: page_type=handwritten_letter, confidence=0.6 | Полноразмерный просмотр: обычная рукописная записка; уверенность повышена с 0.6";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
145;heroes;hero-043;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ВЛАДИСЛАВ АЙМИР Республика Хакасия г. Абакан
146;heroes;hero-043;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
147;heroes;hero-043;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
148;heroes;hero-044;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ РАМИЛЬ РАНИЛЬ, ДАНИЛЬ Республика Татарстан г. Казань
149;heroes;hero-044;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
150;heroes;hero-044;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;;0.9;False;"текст очень ровный, похож на печатный/перепечатанный, не на почерк ребёнка | previous: page_type=typed_letter, confidence=0.55 | Полноразмерный просмотр: письмо написано ОТ РУКИ печатными буквами (не машинопись); тип изменён с typed_letter";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
151;heroes;hero-045;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ САНАЛ ЭНКИРА, ЧИНГИЗ, ТЕНГИР Республика Калмыкия г. Элиста
152;heroes;hero-045;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
153;heroes;hero-045;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;;0.9;False;"два коротких печатных блока текста с подписями | previous: page_type=typed_letter, confidence=0.55 | Полноразмерный просмотр: ДВЕ рукописные записки на странице (не машинопись); тип изменён с typed_letter";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
154;heroes;hero-046;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АНАТОЛИЙ СЕРГЕЙ, ЕКАТЕРИНА, ЕЛИЗАВЕТА Курганская область г. Курган
155;heroes;hero-046;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_portrait | has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
156;heroes;hero-046;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
157;heroes;hero-047;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АЛЕКСАНДР ВЯЧЕСЛАВ, ЕГОР Тюменская область г. Тюмень
158;heroes;hero-047;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_multiple_photos;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
159;heroes;hero-047;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
160;heroes;hero-047;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
161;heroes;hero-047;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
162;heroes;hero-048;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ВЯЧЕСЛАВ ЗЛАТА Республика Башкортостан г. Уфа
163;heroes;hero-048;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
164;heroes;hero-048;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
165;heroes;hero-049;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ РОМАН ДАРИНА, ПАВЕЛ Приморский край г. Владивосток
166;heroes;hero-049;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
167;heroes;hero-049;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting | has_low_readability;0.85;False;"previous: page_type=handwritten_letter, confidence=0.6 | Полноразмерный просмотр: рукописная записка печатными буквами; уверенность повышена с 0.6";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
168;heroes;hero-050;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ МУСТАФА АМИНА, МУХАММАД, КАМИЛЛЯ Республика Ингушетия г. Магас
169;heroes;hero-050;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
170;heroes;hero-050;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_official_symbols;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
171;heroes;hero-050;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
172;heroes;hero-051;hero_title;True;4;False;False;;person_opener;has_coat_of_arms | has_map;0.9;True;editorial_issue:eq-004 (A);МОЙ ОТЕЦ ВИКТОР ВЛАДА Ивановская область г. Иваново
173;heroes;hero-051;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
174;heroes;hero-051;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
175;heroes;hero-052;hero_title;True;4;False;True;duplicate_title_text_of_page_172 (возможен дубль страницы или неисправленный шаблон);person_opener;has_coat_of_arms | has_map;0.9;True;"editorial_issue:eq-004 (B) — визуально идентична p.172 (тот же текст, герб, карта); visually_confirmed_duplicate; между p.172 и p.175 — свой полноценный комплект материалов (фотоколлаж+письмо) у каждого титула";МОЙ ОТЕЦ ВИКТОР ВЛАДА Ивановская область г. Иваново
176;heroes;hero-052;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
177;heroes;hero-052;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
178;heroes;hero-053;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (3/7) — тот же дефект: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
179;heroes;hero-053;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
180;heroes;hero-053;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
181;heroes;hero-054;hero_title;True;4;False;False;;person_opener;has_medal_or_award | has_coat_of_arms | has_map;0.9;True;"editorial_issue:eq-002 — титул ПОЛНЫЙ (герб Волгоградской обл., карта); в отличие от 7 неполных титулов с теми же именами детей, этот титул структурно корректен";НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Волгоградская область г. Волгоград
182;heroes;hero-054;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
183;heroes;hero-054;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
184;heroes;hero-054;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
185;heroes;hero-054;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
186;heroes;hero-055;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (4/7) — тот же дефект: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
187;heroes;hero-055;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
188;heroes;hero-055;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
189;heroes;hero-056;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (5/7) — тот же дефект: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
190;heroes;hero-056;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
191;heroes;hero-056;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_child_art;0.7;False;заголовок «ГЕРОЙ!» + текст + рисунок-звезда;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
192;heroes;hero-057;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ИГОРЬ ВЛАДИСЛАВ, АРИНА Забайкальский Край г. Чита
193;heroes;hero-057;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
194;heroes;hero-057;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
195;heroes;hero-057;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
196;heroes;hero-058;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ДМИТРИЙ ЮЛИАННА Забайкальский Край г. Чита
197;heroes;hero-058;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
198;heroes;hero-059;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ИЛЬДАР АМИР Липецкая область г. Липецк
199;heroes;hero-059;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
200;heroes;hero-059;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
201;heroes;hero-060;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ДЕНИС МИЛАНА Липецкая область г. Липецк
202;heroes;hero-060;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_official_symbols;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
203;heroes;hero-060;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
204;heroes;hero-061;hero_title;True;4;False;False;;person_opener;has_coat_of_arms | has_map;0.9;True;"editorial_issue:eq-007 — герб г. Москвы и карта присутствуют; повтор «г. Москва г. Москва» выглядит структурным (регион=город для городов федерального значения), та же структура у Санкт-Петербурга/Севастополя";МОЙ ОТЕЦ СЕРГЕЙ СОФИЯ г. Москва г. Москва
205;heroes;hero-061;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
206;heroes;hero-061;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
207;heroes;hero-062;hero_title;True;4;False;True;suspicious_characters_in_title;person_opener;has_coat_of_arms | has_map;0.9;True;editorial_issue:eq-005 — «АМИР????» отображается именно так на самом рендере слайда (не только в текстовом слое) -> вероятно нечитаемый спецсимвол/эмодзи прямо в исходном тексте PowerPoint;МОЙ ОТЕЦ АЛЕКСАНДР АМИР???? Оренбургская область г. Оренбург
208;heroes;hero-062;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
209;heroes;hero-062;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
210;heroes;hero-063;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ НИКОЛАЙ КИРА Республика Хакасия г. Абакан
211;heroes;hero-063;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
212;heroes;hero-063;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
213;heroes;hero-064;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (6/7) — тот же дефект: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
214;heroes;hero-064;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
215;heroes;hero-064;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
216;heroes;hero-065;hero_title;True;1;False;True;city_missing | duplicate_title_text_of_page_106 (возможен дубль страницы или неисправленный шаблон);person_opener;has_medal_or_award;0.9;True;editorial_issue:eq-001 (7/7) — тот же дефект: нет герба и карты | possible_placeholder;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
217;heroes;hero-065;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
218;heroes;hero-066;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ИЛЬГАМ МУРАТ, ДАНИЯР Республика Башкортостан г. Уфа
219;heroes;hero-066;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
220;heroes;hero-066;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
221;heroes;hero-066;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
222;heroes;hero-066;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
223;heroes;hero-067;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ЕВГЕНИЙ ПОЛИНА, АННА, ЕГОР Свердловская область г. Екатеринбург
224;heroes;hero-067;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_official_symbols;0.75;False;мемориальная табличка с цветами;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
225;heroes;hero-067;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);quotation;;0.7;False;печатный текст, похожий на стихотворение/посвящение;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
226;heroes;hero-068;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АБДУЛБЕК АКРАМАН, САЛИМА, ДАИД Чеченская Республика г. Грозный
227;heroes;hero-068;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_official_symbols;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
228;heroes;hero-068;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_portrait;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
229;heroes;hero-068;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
230;heroes;hero-069;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АНТОН ДМИТРИЙ Челябинская область г. Челябинск
231;heroes;hero-069;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos | has_official_symbols;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
232;heroes;hero-069;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
233;heroes;hero-069;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_official_symbols | has_family_photo;0.7;False;фото церемонии/выпуска;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
